Sample in Buffer,Sample in Window,TRIGGER,design_2_i/adc_bit_decoder_0_t_ready,design_2_i/ZmodScopeController_0_cDataAxisTvalid,design_2_i/delay_96_cycles_0_dout,design_2_i/adc_bit_decoder_0_bit_out,design_2_i/comparator_0_correct_bits[13:0],design_2_i/comparator_0_whole_bits[13:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,UNSIGNED,UNSIGNED
540,540,0,1,1,1,0,6623,16237
541,541,0,1,0,1,1,6623,16237
542,542,0,1,0,1,1,6623,16237
543,543,0,1,0,1,1,6623,16237
544,544,0,1,1,1,1,6623,16237
545,545,0,1,0,1,0,6623,16237
546,546,0,1,0,1,0,6623,16237
547,547,0,1,0,1,0,6623,16237
548,548,0,1,1,1,0,6623,16237
549,549,0,1,0,1,1,6623,16237
550,550,0,1,0,1,1,6624,16237
551,551,0,1,0,1,1,6624,16237
552,552,0,1,1,1,1,6624,16237
553,553,0,1,0,1,1,6624,16237
554,554,0,1,0,1,1,6624,16237
555,555,0,1,0,1,1,6624,16237
556,556,0,1,1,0,1,6624,16237
557,557,0,1,0,0,1,6624,16237
558,558,0,1,0,0,1,6624,16237
559,559,0,1,0,0,1,6624,16238
560,560,0,1,1,0,1,6624,16238
561,561,0,1,0,0,1,6624,16238
562,562,0,1,0,0,1,6624,16238
563,563,0,1,0,0,1,6624,16238
564,564,0,1,1,0,1,6624,16238
565,565,0,1,0,0,1,6624,16238
566,566,0,1,0,0,1,6624,16238
567,567,0,1,0,0,1,6624,16238
568,568,0,1,1,0,1,6624,16238
569,569,0,1,0,0,1,6624,16238
570,570,0,1,0,0,1,6624,16238
571,571,0,1,0,0,1,6624,16238
572,572,0,1,1,0,1,6624,16238
573,573,0,1,0,0,1,6624,16238
574,574,0,1,0,0,1,6624,16238
575,575,0,1,0,0,1,6624,16238
576,576,0,1,1,0,1,6624,16238
577,577,0,1,0,0,1,6624,16238
578,578,0,1,0,0,1,6624,16238
579,579,0,1,0,0,1,6624,16239
580,580,0,1,1,0,1,6624,16239
581,581,0,1,0,0,1,6624,16239
582,582,0,1,0,0,1,6624,16239
583,583,0,1,0,0,1,6624,16239
584,584,0,1,1,0,1,6624,16239
585,585,0,1,0,0,0,6624,16239
586,586,0,1,0,0,0,6624,16239
587,587,0,1,0,0,0,6624,16239
588,588,0,1,1,0,0,6624,16239
589,589,0,1,0,0,0,6624,16239
590,590,0,1,0,0,0,6625,16239
591,591,0,1,0,0,0,6625,16239
592,592,0,1,1,0,0,6625,16239
593,593,0,1,0,0,1,6625,16239
594,594,0,1,0,0,1,6625,16239
595,595,0,1,0,0,1,6625,16239
596,596,0,1,1,0,1,6625,16239
597,597,0,1,0,0,0,6625,16239
598,598,0,1,0,0,0,6625,16239
599,599,0,1,0,0,0,6625,16240
600,600,0,1,1,0,0,6625,16240
601,601,0,1,0,0,1,6625,16240
602,602,0,1,0,0,1,6625,16240
603,603,0,1,0,0,1,6625,16240
604,604,0,1,1,0,1,6625,16240
605,605,0,1,0,0,1,6625,16240
606,606,0,1,0,0,1,6625,16240
607,607,0,1,0,0,1,6625,16240
608,608,0,1,1,0,1,6625,16240
609,609,0,1,0,0,0,6625,16240
610,610,0,1,0,0,0,6626,16240
